"Match Id","Series Id","Event Name","Map Name","Team 1 Id","Team 1 Name","Team 2 Id","Team 2 Name","Team 1 Score","Team 2 Score","Win Condition","Date","Team 1 Player Ids","Team 2 Player Ids","Total Count"
45117,21173,"VALORANT Champions 2021 - Playoffs","Haven",1625,"Fnatic",976,"KRÜ Esports",13,15,"standard","2021-12-09T00:00:00.000Z","[154,76,1920,2011,2937,154,76,1920,2011,2937,154,76,1920,2011,2937,154,76,1920,2011,2937,154,76,1920,2011,2937]","[2532,1725,1725,1725,1725,1725,4710,4710,4710,4710,4710,4712,4712,4712,4712,4712,3535,3535,3535,3535,3535,2532,2532,2532,2532]",71
45116,21172,"VALORANT Champions 2021 - Playoffs","Breeze",255,"Gambit Esports",727,"X10 CRIT",13,7,"standard","2021-12-09T00:00:00.000Z","[274,2528,1081,1964,3135,274,2528,1081,1964,3135,274,2528,1081,1964,3135,274,2528,1081,1964,3135,274,2528,1081,1964,3135]","[671,6890,6890,6890,6890,6890,3642,3642,3642,3642,3642,3113,3113,3113,3113,3113,766,766,766,766,766,671,671,671,671]",71
45115,21172,"VALORANT Champions 2021 - Playoffs","Ascent",255,"Gambit Esports",727,"X10 CRIT",7,13,"standard","2021-12-09T00:00:00.000Z","[3135,274,1081,1964,2528,3135,274,1081,1964,2528,3135,274,1081,1964,2528,3135,274,1081,1964,2528,3135,274,1081,1964,2528]","[671,3113,3113,3113,3113,3113,6890,6890,6890,6890,6890,3642,3642,3642,3642,3642,766,766,766,766,766,671,671,671,671]",71
45114,21172,"VALORANT Champions 2021 - Playoffs","Fracture",255,"Gambit Esports",727,"X10 CRIT",13,7,"standard","2021-12-09T00:00:00.000Z","[274,2528,3135,1964,1081,274,2528,3135,1964,1081,274,2528,3135,1964,1081,274,2528,3135,1964,1081,274,2528,3135,1964,1081]","[3113,766,766,766,766,766,671,671,671,671,671,6890,6890,6890,6890,6890,3642,3642,3642,3642,3642,3113,3113,3113,3113]",71
45112,21171,"VALORANT Champions 2021 - Playoffs","Ascent",224,"Team Liquid",141,"Cloud9",13,11,"standard","2021-12-08T00:00:00.000Z","[2056,1690,17788,2056,10211,1403,1690,17788,2056,10211,1403,1690,17788,10211,1403,1690,17788,2056,10211,1403,1690,17788,2056,10211,1403]","[4639,1961,1961,1961,1961,1961,13591,13591,13591,13591,13591,4639,4639,4639,4639,3599,3599,3599,3599,3599,2213,2213,2213,2213,2213]",71
45111,21171,"VALORANT Champions 2021 - Playoffs","Bind",224,"Team Liquid",141,"Cloud9",13,10,"standard","2021-12-08T00:00:00.000Z","[1690,17788,10211,2056,1403,1690,17788,10211,2056,1403,1690,17788,10211,2056,1403,1690,17788,10211,2056,1403,1690,17788,10211,2056,1403]","[1961,1961,1961,1961,1961,13591,13591,13591,13591,13591,3599,3599,3599,3599,3599,2213,2213,2213,2213,2213,4639,4639,4639,4639,4639]",71
45109,21170,"VALORANT Champions 2021 - Playoffs","Breeze",2597,"Acend",4696,"Team Secret",13,6,"standard","2021-12-08T00:00:00.000Z","[732,3208,1334,691,2391,732,3208,1334,691,2391,732,691,2391,3208,1334,691,2391,732,3208,1334,691,2391,732,3208,1334]","[2674,2674,2674,405,405,405,405,405,193,193,193,2674,2674,193,193,3076,3076,3076,3076,3076,9537,9537,9537,9537,9537]",71
45108,21170,"VALORANT Champions 2021 - Playoffs","Icebox",2597,"Acend",4696,"Team Secret",13,8,"standard","2021-12-08T00:00:00.000Z","[732,2391,1334,732,3208,691,2391,1334,732,3208,691,2391,1334,3208,691,2391,1334,732,3208,691,2391,1334,732,3208,691]","[405,193,193,193,193,193,2674,2674,2674,2674,2674,405,405,405,405,9537,9537,9537,9537,9537,3076,3076,3076,3076,3076]",71
44975,21067,"VALORANT Champions 2021 - Group Stage","Haven",75,"Team Envy",727,"X10 CRIT",12,14,"standard","2021-12-07T00:00:00.000Z","[398,2841,3211,2716,2483,398,2841,3211,2716,2483,398,2841,3211,2716,2483,398,2841,3211,2716,2483,398,2841,3211,2716,2483]","[766,766,766,766,766,671,671,671,671,671,3113,3113,3113,3113,3113,3642,3642,3642,3642,3642,6890,6890,6890,6890,6890]",71
44974,21067,"VALORANT Champions 2021 - Group Stage","Split",75,"Team Envy",727,"X10 CRIT",8,13,"standard","2021-12-07T00:00:00.000Z","[2716,398,2841,3211,2483,2716,398,2841,3211,2483,2716,398,2841,3211,2483,2716,398,2841,3211,2483,2716,398,2841,3211,2483]","[671,671,3642,3642,3642,3642,3642,766,766,766,766,766,3113,3113,3113,3113,3113,6890,6890,6890,6890,6890,671,671,671]",71
