RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,RegularTime,SpikeTime,MapName,MatchID,SeriesID,bestOF,FinalWinner
401311,1,0,300.0,100.0,5,5,0,0,0,0,Ascent,12619,502,3,0
401311,1,33919,300.0,100.0,4,5,0,0,34,0,Ascent,12619,502,3,0
401311,1,34496,200.0,100.0,3,5,0,0,34,0,Ascent,12619,502,3,0
401311,1,35183,200.0,100.0,3,4,0,0,35,0,Ascent,12619,502,3,0
401311,1,37578,200.0,0.0,3,3,0,0,38,0,Ascent,12619,502,3,0
401311,1,39558,100.0,0.0,2,3,0,0,40,0,Ascent,12619,502,3,0
401311,1,41319,100.0,0.0,1,3,0,0,41,0,Ascent,12619,502,3,0
401311,1,42537,0.0,0.0,0,3,0,0,43,0,Ascent,12619,502,3,0
401312,2,0,640.0,1480.0,5,5,0,0,0,0,Ascent,12619,502,3,0
401312,2,54943,480.0,1480.0,4,5,0,0,55,0,Ascent,12619,502,3,0
401312,2,57761,320.0,1480.0,3,5,0,0,58,0,Ascent,12619,502,3,0
401312,2,63750,160.0,1480.0,2,5,0,0,64,0,Ascent,12619,502,3,0
401312,2,66278,160.0,1160.0,2,4,0,0,66,0,Ascent,12619,502,3,0
401312,2,66361,0.0,1160.0,1,4,0,0,66,0,Ascent,12619,502,3,0
401312,2,68240,0.0,840.0,1,3,0,0,68,0,Ascent,12619,502,3,0
401312,2,69829,0.0,840.0,0,3,0,0,70,0,Ascent,12619,502,3,0
401313,3,0,2480.0,1700.0,5,5,0,0,0,0,Ascent,12619,502,3,0
401313,3,78512,1900.0,1700.0,4,5,0,0,79,0,Ascent,12619,502,3,0
401314,4,0,2060.0,1960.0,5,5,0,0,0,0,Ascent,12619,502,3,0
401314,4,19420,1900.0,1960.0,4,5,0,0,19,0,Ascent,12619,502,3,0
401314,4,25238,1320.0,1960.0,3,5,0,0,25,0,Ascent,12619,502,3,0
401314,4,58517,1000.0,1960.0,2,5,0,0,59,0,Ascent,12619,502,3,0
401314,4,87620,1000.0,1540.0,2,4,0,0,88,0,Ascent,12619,502,3,0
401314,4,88515,1000.0,1220.0,2,3,0,0,89,0,Ascent,12619,502,3,0
401314,4,90817,580.0,1220.0,1,3,0,0,91,0,Ascent,12619,502,3,0
401314,4,95542,580.0,640.0,1,2,0,0,96,0,Ascent,12619,502,3,0
401314,4,97257,580.0,320.0,1,1,0,0,97,0,Ascent,12619,502,3,0
401314,4,100488,0.0,320.0,0,1,0,0,100,0,Ascent,12619,502,3,0
401315,5,0,1640.0,3120.0,5,5,1,1,0,0,Ascent,12619,502,3,0
401315,5,17783,1640.0,2480.0,5,4,1,0,18,0,Ascent,12619,502,3,0
401315,5,44474,1060.0,2480.0,4,4,1,0,44,0,Ascent,12619,502,3,0
401315,5,44644,1060.0,1900.0,4,3,1,0,45,0,Ascent,12619,502,3,0
401315,5,49356,900.0,1900.0,3,3,1,0,49,0,Ascent,12619,502,3,0
401315,5,51966,740.0,1900.0,2,3,1,0,52,0,Ascent,12619,502,3,0
401315,5,54174,740.0,1900.0,2,3,1,0,54,0,Ascent,12619,502,3,0
401315,5,67545,580.0,1900.0,1,3,1,0,0,13,Ascent,12619,502,3,0
401315,5,69276,580.0,1320.0,1,2,1,0,0,15,Ascent,12619,502,3,0
401315,5,71091,0.0,1320.0,0,2,1,0,0,17,Ascent,12619,502,3,0
401315,5,81795,0.0,1320.0,0,2,1,0,0,28,Ascent,12619,502,3,0
401316,6,0,2900.0,3060.0,5,5,1,0,0,0,Ascent,12619,502,3,1
401316,6,8079,2900.0,2060.0,5,4,0,0,8,0,Ascent,12619,502,3,1
401316,6,48138,2900.0,1480.0,5,3,0,0,48,0,Ascent,12619,502,3,1
401316,6,54099,2900.0,900.0,5,2,0,0,54,0,Ascent,12619,502,3,1
401316,6,58530,2320.0,900.0,4,2,0,0,59,0,Ascent,12619,502,3,1
401316,6,62671,1740.0,900.0,3,2,0,0,63,0,Ascent,12619,502,3,1
401316,6,81947,1740.0,900.0,3,2,0,0,82,0,Ascent,12619,502,3,1
401316,6,86044,1740.0,320.0,3,1,0,0,0,4,Ascent,12619,502,3,1
401316,6,112378,1740.0,0.0,3,0,0,0,0,30,Ascent,12619,502,3,1
401317,7,0,2900.0,3320.0,5,5,1,0,0,0,Ascent,12619,502,3,1
401317,7,41000,2900.0,3320.0,5,5,1,0,41,0,Ascent,12619,502,3,1
401317,7,52737,2900.0,2740.0,5,4,1,0,0,12,Ascent,12619,502,3,1
401317,7,55076,2900.0,1740.0,5,3,0,0,0,14,Ascent,12619,502,3,1
401317,7,56249,2900.0,1160.0,5,2,0,0,0,15,Ascent,12619,502,3,1
401317,7,61130,2900.0,580.0,5,1,0,0,0,20,Ascent,12619,502,3,1
401317,7,62518,2320.0,580.0,4,1,0,0,0,22,Ascent,12619,502,3,1
401317,7,63412,2320.0,0.0,4,0,0,0,0,22,Ascent,12619,502,3,1
401318,8,0,2900.0,2380.0,5,5,0,0,0,0,Ascent,12619,502,3,1
401318,8,26343,2900.0,2380.0,5,5,0,0,26,0,Ascent,12619,502,3,1
401318,8,44343,2900.0,1800.0,5,4,0,0,0,18,Ascent,12619,502,3,1
401318,8,46437,2900.0,1480.0,5,3,0,0,0,20,Ascent,12619,502,3,1
401318,8,59348,2320.0,1480.0,4,3,0,0,0,33,Ascent,12619,502,3,1
401319,9,0,2480.0,1980.0,5,5,0,0,0,0,Ascent,12619,502,3,1
