RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,Spike_1_beep,Spike_2_beep,MapName,MatchID,SeriesID,bestOF,FinalWinner
401890,1,0,300.0,260.0,5,5,0,0,0,0,Haven,12729,502,3,0
401890,1,39311,200.0,260.0,4,5,0,0,0,0,Haven,12729,502,3,0
401890,1,46662,100.0,260.0,3,5,0,0,0,0,Haven,12729,502,3,0
401890,1,62066,100.0,260.0,2,5,0,0,0,0,Haven,12729,502,3,0
401890,1,82625,0.0,260.0,1,5,0,0,0,0,Haven,12729,502,3,0
401890,1,87821,0.0,260.0,1,4,0,0,0,0,Haven,12729,502,3,0
401890,1,89730,0.0,260.0,0,4,0,0,0,0,Haven,12729,502,3,0
401891,2,0,1000.0,1220.0,5,5,0,0,0,0,Haven,12729,502,3,0
401891,2,34699,900.0,1220.0,4,5,0,0,0,0,Haven,12729,502,3,0
401891,2,34778,800.0,1220.0,3,5,0,0,0,0,Haven,12729,502,3,0
401891,2,40813,800.0,900.0,3,4,0,0,0,0,Haven,12729,502,3,0
401891,2,41533,800.0,580.0,3,3,0,0,0,0,Haven,12729,502,3,0
401891,2,45855,800.0,420.0,3,2,0,0,0,0,Haven,12729,502,3,0
401891,2,55241,480.0,420.0,2,2,0,0,0,0,Haven,12729,502,3,0
401891,2,80877,320.0,420.0,1,2,0,0,0,0,Haven,12729,502,3,0
401891,2,86988,320.0,420.0,1,2,0,0,0,0,Haven,12729,502,3,0
401891,2,88486,0.0,420.0,0,2,0,0,1,0,Haven,12729,502,3,0
401891,2,98239,0.0,420.0,0,2,0,0,1,0,Haven,12729,502,3,0
401892,3,0,800.0,1900.0,5,5,0,0,0,0,Haven,12729,502,3,0
401892,3,9969,800.0,1320.0,5,4,0,0,0,0,Haven,12729,502,3,0
401892,3,78562,640.0,1320.0,4,4,0,0,0,0,Haven,12729,502,3,0
401892,3,81519,480.0,1320.0,3,4,0,0,0,0,Haven,12729,502,3,0
401892,3,85814,320.0,1320.0,2,4,0,0,0,0,Haven,12729,502,3,0
401892,3,86392,320.0,740.0,2,3,0,0,0,0,Haven,12729,502,3,0
401892,3,90453,320.0,640.0,2,2,0,0,0,0,Haven,12729,502,3,0
401892,3,94241,160.0,640.0,1,2,0,0,0,0,Haven,12729,502,3,0
401892,3,94576,160.0,640.0,1,2,0,0,0,0,Haven,12729,502,3,0
401892,3,96896,0.0,640.0,0,2,0,0,1,0,Haven,12729,502,3,0
401892,3,106621,0.0,640.0,0,2,0,0,1,0,Haven,12729,502,3,0
401893,4,0,2900.0,3320.0,5,5,1,0,0,0,Haven,12729,502,3,1
401893,4,8322,2900.0,2740.0,5,4,1,0,0,0,Haven,12729,502,3,1
401893,4,10023,2900.0,2160.0,5,3,1,0,0,0,Haven,12729,502,3,1
401893,4,21574,2320.0,2160.0,4,3,1,0,0,0,Haven,12729,502,3,1
401893,4,27921,1740.0,2160.0,3,3,1,0,0,0,Haven,12729,502,3,1
401893,4,28535,1740.0,1160.0,3,2,0,0,0,0,Haven,12729,502,3,1
401893,4,28722,1740.0,580.0,3,1,0,0,0,0,Haven,12729,502,3,1
401893,4,39219,1740.0,580.0,3,1,0,0,0,0,Haven,12729,502,3,1
401893,4,45276,1740.0,0.0,3,0,0,0,1,0,Haven,12729,502,3,1
401894,5,0,2900.0,1460.0,5,5,0,0,0,0,Haven,12729,502,3,0
401894,5,59104,2320.0,1460.0,4,5,0,0,0,0,Haven,12729,502,3,0
401894,5,62823,2320.0,1360.0,4,4,0,0,0,0,Haven,12729,502,3,0
401894,5,68435,1740.0,1360.0,3,4,0,0,0,0,Haven,12729,502,3,0
401894,5,68547,1160.0,1360.0,2,4,0,0,0,0,Haven,12729,502,3,0
401894,5,68839,580.0,1360.0,1,4,0,0,0,0,Haven,12729,502,3,0
401894,5,74431,580.0,780.0,1,3,0,0,0,0,Haven,12729,502,3,0
