RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,Spike_1_beep,Spike_2_beep,MapName,MatchID,SeriesID,bestOF,FinalWinner
402034,1,0,300.0,200.0,5,5,0,0,0,0,Ascent,12731,502,3,1
402034,1,22903,300.0,200.0,5,4,0,0,0,0,Ascent,12731,502,3,1
402034,1,42610,300.0,200.0,5,4,0,0,0,0,Ascent,12731,502,3,1
402034,1,49938,300.0,100.0,5,3,0,0,1,0,Ascent,12731,502,3,1
402034,1,69532,300.0,0.0,5,2,0,0,0,1,Ascent,12731,502,3,1
402034,1,69874,300.0,0.0,4,2,0,0,0,1,Ascent,12731,502,3,1
402034,1,70725,300.0,0.0,4,1,0,0,0,1,Ascent,12731,502,3,1
402034,1,72904,300.0,0.0,4,0,0,0,0,1,Ascent,12731,502,3,1
402035,2,0,1600.0,40.0,5,5,0,0,0,0,Ascent,12731,502,3,1
402035,2,8978,1600.0,0.0,5,4,0,0,0,0,Ascent,12731,502,3,1
402035,2,9326,1600.0,0.0,5,3,0,0,0,0,Ascent,12731,502,3,1
402035,2,11012,1600.0,0.0,5,2,0,0,0,0,Ascent,12731,502,3,1
402035,2,40253,1600.0,0.0,5,1,0,0,0,0,Ascent,12731,502,3,1
402035,2,47622,1280.0,0.0,4,1,0,0,0,0,Ascent,12731,502,3,1
402035,2,52703,1280.0,0.0,4,1,0,0,0,0,Ascent,12731,502,3,1
402035,2,54770,960.0,0.0,3,1,0,0,1,0,Ascent,12731,502,3,1
402035,2,67652,960.0,0.0,3,0,0,0,1,0,Ascent,12731,502,3,1
402036,3,0,1380.0,2900.0,5,5,0,0,0,0,Ascent,12731,502,3,0
402036,3,79111,1380.0,2900.0,5,5,0,0,0,0,Ascent,12731,502,3,0
402036,3,90253,1060.0,2900.0,4,5,0,0,1,0,Ascent,12731,502,3,0
402036,3,103624,1060.0,2320.0,4,4,0,0,1,0,Ascent,12731,502,3,0
402036,3,104923,740.0,2320.0,3,4,0,0,0,1,Ascent,12731,502,3,0
402036,3,108939,740.0,1740.0,3,3,0,0,0,1,Ascent,12731,502,3,0
402036,3,109843,740.0,1160.0,3,2,0,0,0,1,Ascent,12731,502,3,0
402036,3,110606,420.0,1160.0,2,2,0,0,0,1,Ascent,12731,502,3,0
402036,3,112776,100.0,1160.0,1,2,0,0,0,1,Ascent,12731,502,3,0
402036,3,117328,0.0,1160.0,0,2,0,0,0,1,Ascent,12731,502,3,0
402036,3,122790,0.0,1160.0,0,2,0,0,0,1,Ascent,12731,502,3,0
402037,4,0,2640.0,2220.0,5,5,0,0,0,0,Ascent,12731,502,3,0
402037,4,56941,2640.0,2220.0,5,5,0,0,0,0,Ascent,12731,502,3,0
402037,4,69413,2060.0,2220.0,4,5,0,0,1,0,Ascent,12731,502,3,0
402037,4,72616,2060.0,1900.0,4,4,0,0,1,0,Ascent,12731,502,3,0
402037,4,73670,1480.0,1900.0,3,4,0,0,1,0,Ascent,12731,502,3,0
402037,4,76053,1480.0,1480.0,3,3,0,0,1,0,Ascent,12731,502,3,0
402037,4,76145,900.0,1480.0,2,3,0,0,1,0,Ascent,12731,502,3,0
402037,4,78659,580.0,1480.0,1,3,0,0,1,0,Ascent,12731,502,3,0
402037,4,84969,0.0,1480.0,0,3,0,0,0,1,Ascent,12731,502,3,0
402037,4,90994,0.0,1480.0,0,3,0,0,0,1,Ascent,12731,502,3,0
402038,5,0,2800.0,2900.0,5,5,0,0,0,0,Ascent,12731,502,3,0
402038,5,55313,1800.0,2900.0,4,5,0,0,0,0,Ascent,12731,502,3,0
402038,5,56697,1800.0,2900.0,4,5,0,0,0,0,Ascent,12731,502,3,0
402038,5,72517,1220.0,2900.0,3,5,0,0,1,0,Ascent,12731,502,3,0
402038,5,72588,1220.0,2320.0,3,4,0,0,1,0,Ascent,12731,502,3,0
402038,5,72768,900.0,2320.0,2,4,0,0,1,0,Ascent,12731,502,3,0
402038,5,75277,900.0,1740.0,2,3,0,0,1,0,Ascent,12731,502,3,0
402038,5,76998,580.0,1740.0,1,3,0,0,1,0,Ascent,12731,502,3,0
402038,5,77316,580.0,1160.0,1,2,0,0,1,0,Ascent,12731,502,3,0
402038,5,85672,580.0,1160.0,1,2,0,0,0,1,Ascent,12731,502,3,0
402039,6,0,1320.0,2900.0,5,5,0,0,0,0,Ascent,12731,502,3,0
402039,6,24272,1320.0,2320.0,5,4,0,0,0,0,Ascent,12731,502,3,0
402039,6,28511,1000.0,2320.0,4,4,0,0,0,0,Ascent,12731,502,3,0
402039,6,31677,1000.0,1740.0,4,3,0,0,0,0,Ascent,12731,502,3,0
402039,6,31721,840.0,1740.0,3,3,0,0,0,0,Ascent,12731,502,3,0
402039,6,32266,840.0,1160.0,3,2,0,0,0,0,Ascent,12731,502,3,0
402039,6,37426,260.0,1160.0,2,2,0,0,0,0,Ascent,12731,502,3,0
402039,6,38044,260.0,580.0,2,1,0,0,0,0,Ascent,12731,502,3,0
402039,6,43845,260.0,1160.0,2,2,0,0,0,0,Ascent,12731,502,3,0
402039,6,49646,100.0,1160.0,1,2,0,0,0,0,Ascent,12731,502,3,0
402039,6,53613,0.0,1160.0,0,2,0,0,0,0,Ascent,12731,502,3,0
402040,7,0,2900.0,3320.0,5,5,1,0,0,0,Ascent,12731,502,3,0
402040,7,38972,2320.0,3320.0,4,5,1,0,0,0,Ascent,12731,502,3,0
402040,7,40291,2320.0,2740.0,4,4,1,0,0,0,Ascent,12731,502,3,0
402040,7,41347,1740.0,2740.0,3,4,1,0,0,0,Ascent,12731,502,3,0
402040,7,42055,1160.0,2740.0,2,4,1,0,0,0,Ascent,12731,502,3,0
402041,8,0,2000.0,3380.0,5,5,1,1,0,0,Ascent,12731,502,3,1
402041,8,48701,1900.0,3380.0,4,5,1,1,0,0,Ascent,12731,502,3,1
402041,8,58527,1320.0,3380.0,3,5,1,1,0,0,Ascent,12731,502,3,1
402041,8,59565,1320.0,2800.0,3,4,1,1,0,0,Ascent,12731,502,3,1
402041,8,65629,1320.0,2220.0,3,3,1,1,0,0,Ascent,12731,502,3,1
402041,8,74304,1320.0,2220.0,3,3,1,1,0,0,Ascent,12731,502,3,1
402041,8,89974,1320.0,1220.0,3,2,0,1,1,0,Ascent,12731,502,3,1
402041,8,107834,1160.0,1220.0,2,2,0,1,0,1,Ascent,12731,502,3,1
402041,8,109871,580.0,1220.0,1,2,0,1,0,1,Ascent,12731,502,3,1
402042,9,0,2640.0,3380.0,5,5,1,1,0,0,Ascent,12731,502,3,0
402042,9,86848,2060.0,3380.0,4,5,1,1,0,0,Ascent,12731,502,3,0
402042,9,89259,1480.0,3380.0,3,5,1,1,0,0,Ascent,12731,502,3,0
402042,9,92744,1160.0,3380.0,2,5,1,1,0,0,Ascent,12731,502,3,0
402042,9,95435,1160.0,2380.0,2,4,0,1,0,0,Ascent,12731,502,3,0
402042,9,95488,580.0,2380.0,1,4,0,1,0,0,Ascent,12731,502,3,0
402042,9,100424,580.0,1800.0,1,3,0,1,0,0,Ascent,12731,502,3,0
402043,10,0,1000.0,3380.0,5,5,1,1,0,0,Ascent,12731,502,3,0
402043,10,23432,1000.0,3380.0,4,5,1,1,0,0,Ascent,12731,502,3,0
402043,10,56424,840.0,3380.0,3,5,1,1,0,0,Ascent,12731,502,3,0
402043,10,59642,840.0,2800.0,3,4,1,1,0,0,Ascent,12731,502,3,0
402043,10,60524,840.0,2160.0,3,3,1,0,0,0,Ascent,12731,502,3,0
402043,10,61303,740.0,2160.0,2,3,1,0,0,0,Ascent,12731,502,3,0
402043,10,69030,160.0,2160.0,1,3,1,0,0,0,Ascent,12731,502,3,0
402043,10,70866,160.0,2800.0,1,4,1,1,0,0,Ascent,12731,502,3,0
402043,10,72701,0.0,2800.0,0,4,1,1,0,0,Ascent,12731,502,3,0
402044,11,0,2640.0,3380.0,5,5,1,1,0,0,Ascent,12731,502,3,1
402044,11,44313,2640.0,2380.0,5,4,0,1,0,0,Ascent,12731,502,3,1
402044,11,45581,2060.0,2380.0,4,4,0,1,0,0,Ascent,12731,502,3,1
402044,11,52191,1480.0,2380.0,3,4,0,1,0,0,Ascent,12731,502,3,1
402044,11,53018,1480.0,1800.0,3,3,0,1,0,0,Ascent,12731,502,3,1
