RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,RegularTime,SpikeTime,MapName,MatchID,SeriesID,bestOF,FinalWinner
401231,1,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,1
401232,2,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,1
401233,3,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,0
401234,4,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,1
401235,5,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,0
401236,6,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,1
401237,7,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,1
401238,8,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,1
401239,9,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,0
401240,10,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,0
401241,11,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,0
401242,12,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,1
401243,13,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,0
401244,14,0,0.0,0.0,5,5,0,0,0,0,Icebox,12618,502,3,0
401245,15,0,2900.0,2700.0,5,5,1,0,0,0,Icebox,12618,502,3,1
401245,15,41414,2900.0,2380.0,5,4,1,0,41,0,Icebox,12618,502,3,1
401245,15,43109,2900.0,1900.0,5,3,1,0,43,0,Icebox,12618,502,3,1
401245,15,46227,2320.0,1900.0,4,3,1,0,46,0,Icebox,12618,502,3,1
401245,15,46864,2320.0,1900.0,4,3,1,0,47,0,Icebox,12618,502,3,1
401245,15,56548,2320.0,1580.0,4,2,1,0,0,10,Icebox,12618,502,3,1
401245,15,58075,2320.0,580.0,4,1,0,0,0,11,Icebox,12618,502,3,1
401245,15,59635,2320.0,0.0,4,0,0,0,0,13,Icebox,12618,502,3,1
401246,16,0,2900.0,1060.0,5,5,0,0,0,0,Icebox,12618,502,3,1
401246,16,31383,2900.0,640.0,5,4,0,0,31,0,Icebox,12618,502,3,1
401246,16,33405,2900.0,320.0,5,3,0,0,33,0,Icebox,12618,502,3,1
401246,16,39393,2900.0,320.0,5,3,0,0,39,0,Icebox,12618,502,3,1
401246,16,54021,2320.0,320.0,4,3,0,0,0,15,Icebox,12618,502,3,1
401246,16,55405,2320.0,160.0,4,2,0,0,0,16,Icebox,12618,502,3,1
401246,16,56174,2320.0,0.0,4,1,0,0,0,17,Icebox,12618,502,3,1
401246,16,58756,1740.0,0.0,3,1,0,0,0,19,Icebox,12618,502,3,1
401246,16,71244,1160.0,0.0,2,1,0,0,0,32,Icebox,12618,502,3,1
401246,16,71318,1160.0,0.0,2,0,0,0,0,32,Icebox,12618,502,3,1
401247,17,0,2900.0,2900.0,5,5,0,0,0,0,Icebox,12618,502,3,0
401247,17,19626,2320.0,2900.0,4,5,0,0,20,0,Icebox,12618,502,3,0
401247,17,27432,2320.0,2320.0,4,4,0,0,27,0,Icebox,12618,502,3,0
401247,17,28890,1740.0,2320.0,3,4,0,0,29,0,Icebox,12618,502,3,0
401247,17,34513,1740.0,1740.0,3,3,0,0,35,0,Icebox,12618,502,3,0
401247,17,37662,1160.0,1740.0,2,3,0,0,38,0,Icebox,12618,502,3,0
401247,17,43730,1160.0,1160.0,2,2,0,0,44,0,Icebox,12618,502,3,0
401247,17,52516,580.0,1160.0,1,2,0,0,53,0,Icebox,12618,502,3,0
401247,17,53536,580.0,580.0,1,1,0,0,54,0,Icebox,12618,502,3,0
401247,17,60524,0.0,580.0,0,1,0,0,61,0,Icebox,12618,502,3,0
401248,18,0,2900.0,2640.0,5,5,0,0,0,0,Icebox,12618,502,3,1
401248,18,11536,2900.0,2060.0,5,4,0,0,12,0,Icebox,12618,502,3,1
401248,18,13177,2900.0,1480.0,5,3,0,0,13,0,Icebox,12618,502,3,1
401248,18,16463,2320.0,1480.0,4,3,0,0,16,0,Icebox,12618,502,3,1
