RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,RegularTime,SpikeTime,MapName,MatchID,SeriesID,bestOF,FinalWinner
402632,1,0,300.0,300.0,5,5,0,0,0,0,Haven,12750,502,3,0
402632,1,14455,300.0,200.0,5,4,0,0,14,0,Haven,12750,502,3,0
402632,1,15621,300.0,100.0,5,3,0,0,16,0,Haven,12750,502,3,0
402632,1,16417,200.0,100.0,4,3,0,0,16,0,Haven,12750,502,3,0
402632,1,18807,200.0,100.0,4,2,0,0,19,0,Haven,12750,502,3,0
402632,1,19338,100.0,100.0,3,2,0,0,19,0,Haven,12750,502,3,0
402632,1,20479,100.0,100.0,2,2,0,0,20,0,Haven,12750,502,3,0
402632,1,24923,0.0,100.0,1,2,0,0,25,0,Haven,12750,502,3,0
402632,1,37842,0.0,100.0,0,2,0,0,38,0,Haven,12750,502,3,0
402633,2,0,100.0,1160.0,5,5,0,0,0,0,Haven,12750,502,3,0
402633,2,20120,0.0,1160.0,4,5,0,0,20,0,Haven,12750,502,3,0
402633,2,22423,0.0,1160.0,3,5,0,0,22,0,Haven,12750,502,3,0
402633,2,23343,0.0,1060.0,3,4,0,0,23,0,Haven,12750,502,3,0
402633,2,23731,0.0,1060.0,2,4,0,0,24,0,Haven,12750,502,3,0
402633,2,24090,0.0,740.0,2,3,0,0,24,0,Haven,12750,502,3,0
402633,2,33597,0.0,740.0,2,3,0,0,34,0,Haven,12750,502,3,0
402633,2,35494,0.0,740.0,1,3,0,0,0,2,Haven,12750,502,3,0
402633,2,36170,0.0,740.0,0,3,0,0,0,3,Haven,12750,502,3,0
402633,2,46663,0.0,740.0,0,3,0,0,0,13,Haven,12750,502,3,0
402634,3,0,2900.0,2120.0,5,5,0,0,0,0,Haven,12750,502,3,1
402634,3,77248,2900.0,1540.0,5,4,0,0,77,0,Haven,12750,502,3,1
402634,3,80350,2900.0,960.0,5,3,0,0,80,0,Haven,12750,502,3,1
402634,3,81803,2900.0,640.0,5,2,0,0,82,0,Haven,12750,502,3,1
402634,3,88900,2900.0,320.0,5,1,0,0,89,0,Haven,12750,502,3,1
402634,3,89876,2900.0,320.0,5,1,0,0,90,0,Haven,12750,502,3,1
402634,3,94654,2320.0,320.0,4,1,0,0,0,5,Haven,12750,502,3,1
402634,3,101876,2320.0,0.0,4,0,0,0,0,12,Haven,12750,502,3,1
402635,4,0,2900.0,2060.0,5,5,0,0,0,0,Haven,12750,502,3,1
402635,4,24733,2900.0,2060.0,5,5,0,0,25,0,Haven,12750,502,3,1
402635,4,38480,2900.0,1480.0,5,4,0,0,0,14,Haven,12750,502,3,1
402635,4,39318,2320.0,1480.0,4,4,0,0,0,15,Haven,12750,502,3,1
402635,4,41901,2320.0,900.0,4,3,0,0,0,17,Haven,12750,502,3,1
402635,4,54787,2320.0,320.0,4,2,0,0,0,30,Haven,12750,502,3,1
402635,4,57467,2320.0,320.0,4,1,0,0,0,33,Haven,12750,502,3,1
402635,4,66398,2320.0,0.0,4,0,0,0,0,42,Haven,12750,502,3,1
402635,4,70845,1740.0,0.0,3,0,0,0,0,46,Haven,12750,502,3,1
402636,5,0,2900.0,1160.0,5,5,0,0,0,0,Haven,12750,502,3,1
402636,5,6318,2900.0,1160.0,5,4,0,0,6,0,Haven,12750,502,3,1
402636,5,83463,2900.0,1160.0,5,4,0,0,83,0,Haven,12750,502,3,1
402636,5,94351,2900.0,840.0,5,3,0,0,0,11,Haven,12750,502,3,1
402636,5,102043,2900.0,680.0,5,2,0,0,0,19,Haven,12750,502,3,1
402636,5,110633,2900.0,100.0,5,1,0,0,0,27,Haven,12750,502,3,1
402637,6,0,2900.0,3320.0,5,5,1,0,0,0,Haven,12750,502,3,0
402637,6,18934,2320.0,3320.0,4,5,1,0,19,0,Haven,12750,502,3,0
402637,6,26027,2320.0,2740.0,4,4,1,0,26,0,Haven,12750,502,3,0
402637,6,26411,1740.0,2740.0,3,4,1,0,26,0,Haven,12750,502,3,0
402637,6,27625,1160.0,2740.0,2,4,1,0,28,0,Haven,12750,502,3,0
402637,6,27690,1160.0,2160.0,2,3,1,0,28,0,Haven,12750,502,3,0
402637,6,30068,1740.0,2160.0,3,3,1,0,30,0,Haven,12750,502,3,0
402637,6,32445,1160.0,2160.0,2,3,1,0,32,0,Haven,12750,502,3,0
402637,6,33266,580.0,2160.0,1,3,1,0,33,0,Haven,12750,502,3,0
402637,6,34191,0.0,2160.0,0,3,1,0,34,0,Haven,12750,502,3,0
402638,7,0,2900.0,3320.0,5,5,1,0,0,0,Haven,12750,502,3,0
402638,7,59537,2320.0,3320.0,4,5,1,0,60,0,Haven,12750,502,3,0
