RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,Spike_1_beep,Spike_2_beep,MapName,MatchID,SeriesID,bestOF,FinalWinner
401352,1,0,200.0,300.0,5,5,0,0,0,0,Icebox,12617,502,3,0
401352,1,66237,200.0,300.0,5,5,0,0,0,0,Icebox,12617,502,3,0
401352,1,74141,100.0,300.0,4,5,0,0,1,0,Icebox,12617,502,3,0
401352,1,81048,100.0,300.0,3,5,0,0,1,0,Icebox,12617,502,3,0
401352,1,83325,0.0,300.0,2,5,0,0,1,0,Icebox,12617,502,3,0
401352,1,84075,0.0,300.0,2,5,0,0,1,0,Icebox,12617,502,3,0
401352,1,85695,0.0,300.0,2,4,0,0,1,0,Icebox,12617,502,3,0
401352,1,89326,0.0,300.0,1,4,0,0,1,0,Icebox,12617,502,3,0
401352,1,90596,0.0,200.0,1,3,0,0,1,0,Icebox,12617,502,3,0
401353,2,0,1320.0,1480.0,5,5,0,0,0,0,Icebox,12617,502,3,1
401353,2,14637,1320.0,1160.0,5,4,0,0,0,0,Icebox,12617,502,3,1
401353,2,81807,1320.0,840.0,5,3,0,0,0,0,Icebox,12617,502,3,1
401353,2,83595,1120.0,840.0,4,3,0,0,0,0,Icebox,12617,502,3,1
401353,2,85129,1120.0,840.0,4,3,0,0,0,0,Icebox,12617,502,3,1
401353,2,103627,1120.0,740.0,4,2,0,0,1,0,Icebox,12617,502,3,1
401353,2,104733,800.0,740.0,3,2,0,0,1,0,Icebox,12617,502,3,1
401353,2,108847,800.0,320.0,3,1,0,0,1,0,Icebox,12617,502,3,1
401353,2,113618,800.0,0.0,3,0,0,0,0,1,Icebox,12617,502,3,1
401354,3,0,1440.0,420.0,5,5,0,0,0,0,Icebox,12617,502,3,0
401354,3,30941,1120.0,420.0,4,5,0,0,0,0,Icebox,12617,502,3,0
401354,3,32264,1120.0,420.0,4,5,0,0,0,0,Icebox,12617,502,3,0
401354,3,34055,800.0,420.0,3,5,0,0,1,0,Icebox,12617,502,3,0
401354,3,34851,480.0,420.0,2,5,0,0,1,0,Icebox,12617,502,3,0
401354,3,37171,480.0,420.0,2,4,0,0,1,0,Icebox,12617,502,3,0
401354,3,42763,320.0,420.0,1,4,0,0,1,0,Icebox,12617,502,3,0
401354,3,44525,320.0,320.0,1,3,0,0,1,0,Icebox,12617,502,3,0
401354,3,45255,0.0,320.0,0,3,0,0,1,0,Icebox,12617,502,3,0
401354,3,53557,0.0,320.0,0,3,0,0,1,0,Icebox,12617,502,3,0
401355,4,0,2420.0,2540.0,5,5,1,0,0,0,Icebox,12617,502,3,1
401355,4,28280,2420.0,1540.0,5,4,0,0,0,0,Icebox,12617,502,3,1
401355,4,62260,2420.0,1220.0,5,3,0,0,0,0,Icebox,12617,502,3,1
401355,4,69956,2420.0,900.0,5,2,0,0,0,0,Icebox,12617,502,3,1
401355,4,74433,2420.0,320.0,5,1,0,0,0,0,Icebox,12617,502,3,1
401355,4,76180,2420.0,320.0,5,1,0,0,0,0,Icebox,12617,502,3,1
401355,4,94489,1840.0,320.0,4,1,0,0,1,0,Icebox,12617,502,3,1
401355,4,95672,1840.0,0.0,4,0,0,0,1,0,Icebox,12617,502,3,1
401356,5,0,3320.0,2280.0,5,5,0,0,0,0,Icebox,12617,502,3,1
401356,5,37676,2740.0,2280.0,4,5,0,0,0,0,Icebox,12617,502,3,1
401356,5,52978,2740.0,2280.0,4,5,0,0,0,0,Icebox,12617,502,3,1
401356,5,53695,2740.0,1960.0,4,4,0,0,1,0,Icebox,12617,502,3,1
401356,5,79438,2160.0,1960.0,3,4,0,0,0,1,Icebox,12617,502,3,1
401356,5,81920,2160.0,1740.0,3,3,0,0,0,1,Icebox,12617,502,3,1
401356,5,82278,1580.0,1740.0,2,3,0,0,0,1,Icebox,12617,502,3,1
401356,5,82581,1580.0,1160.0,2,2,0,0,0,1,Icebox,12617,502,3,1
401356,5,86595,1580.0,580.0,2,1,0,0,0,1,Icebox,12617,502,3,1
401356,5,88099,1000.0,580.0,1,1,0,0,0,1,Icebox,12617,502,3,1
401356,5,93464,1000.0,0.0,1,0,0,0,0,1,Icebox,12617,502,3,1
401356,5,98854,0.0,0.0,0,0,0,0,0,1,Icebox,12617,502,3,1
401357,6,0,2640.0,580.0,5,5,0,0,0,0,Icebox,12617,502,3,1
401357,6,55821,2640.0,580.0,5,4,0,0,0,0,Icebox,12617,502,3,1
401357,6,59045,2640.0,580.0,5,4,0,0,0,0,Icebox,12617,502,3,1
401357,6,72477,2640.0,420.0,5,3,0,0,1,0,Icebox,12617,502,3,1
401357,6,78121,2060.0,420.0,4,3,0,0,1,0,Icebox,12617,502,3,1
401357,6,86814,1740.0,420.0,3,3,0,0,0,1,Icebox,12617,502,3,1
401357,6,94983,1740.0,320.0,3,2,0,0,0,1,Icebox,12617,502,3,1
401357,6,95396,1740.0,160.0,3,1,0,0,0,1,Icebox,12617,502,3,1
401357,6,97691,1160.0,160.0,2,1,0,0,0,1,Icebox,12617,502,3,1
401357,6,98104,1160.0,0.0,2,0,0,0,0,1,Icebox,12617,502,3,1
401357,6,104845,580.0,0.0,1,0,0,0,0,1,Icebox,12617,502,3,1
401358,7,0,2900.0,3320.0,5,5,1,0,0,0,Icebox,12617,502,3,0
401358,7,59781,2320.0,3320.0,4,5,1,0,0,0,Icebox,12617,502,3,0
401358,7,60608,1740.0,3320.0,3,5,1,0,0,0,Icebox,12617,502,3,0
401358,7,64716,1160.0,3320.0,2,5,1,0,0,0,Icebox,12617,502,3,0
401358,7,67121,1160.0,2740.0,2,4,1,0,0,0,Icebox,12617,502,3,0
401358,7,75133,580.0,2740.0,1,4,1,0,0,0,Icebox,12617,502,3,0
401358,7,82029,0.0,2740.0,0,4,1,0,0,0,Icebox,12617,502,3,0
