RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,RegularTime,SpikeTime,MapName,MatchID,SeriesID,bestOF,FinalWinner
403005,1,0,300.0,300.0,5,5,0,0,0,0,Split,12751,502,5,1
403005,1,16954,200.0,300.0,4,5,0,0,17,0,Split,12751,502,5,1
403005,1,20934,200.0,300.0,4,4,0,0,21,0,Split,12751,502,5,1
403005,1,24854,200.0,300.0,3,4,0,0,25,0,Split,12751,502,5,1
403005,1,25187,200.0,200.0,3,3,0,0,25,0,Split,12751,502,5,1
403005,1,28685,200.0,200.0,3,2,0,0,29,0,Split,12751,502,5,1
403005,1,37791,200.0,200.0,3,2,0,0,38,0,Split,12751,502,5,1
403005,1,45631,100.0,200.0,2,2,0,0,0,8,Split,12751,502,5,1
403005,1,50135,100.0,100.0,2,1,0,0,0,12,Split,12751,502,5,1
403005,1,54996,100.0,0.0,2,0,0,0,0,17,Split,12751,502,5,1
403006,2,0,1480.0,260.0,5,5,0,0,0,0,Split,12751,502,5,1
403006,2,19025,1480.0,260.0,5,4,0,0,19,0,Split,12751,502,5,1
403006,2,22861,1480.0,260.0,5,3,0,0,23,0,Split,12751,502,5,1
403006,2,43712,1480.0,260.0,5,2,0,0,44,0,Split,12751,502,5,1
403006,2,47912,1480.0,260.0,5,2,0,0,48,0,Split,12751,502,5,1
403006,2,51544,1480.0,160.0,5,1,0,0,0,4,Split,12751,502,5,1
403006,2,53215,1480.0,0.0,5,0,0,0,0,5,Split,12751,502,5,1
403007,3,0,1960.0,2900.0,5,5,0,0,0,0,Split,12751,502,5,0
403007,3,11795,1380.0,2900.0,4,5,0,0,12,0,Split,12751,502,5,0
403007,3,63388,1380.0,2320.0,4,4,0,0,63,0,Split,12751,502,5,0
403007,3,67252,1060.0,2320.0,3,4,0,0,67,0,Split,12751,502,5,0
403007,3,69010,640.0,2320.0,2,4,0,0,69,0,Split,12751,502,5,0
403007,3,69299,640.0,1740.0,2,3,0,0,69,0,Split,12751,502,5,0
403007,3,77793,320.0,1740.0,1,3,0,0,78,0,Split,12751,502,5,0
403007,3,80755,320.0,1160.0,1,2,0,0,81,0,Split,12751,502,5,0
403007,3,92048,0.0,1160.0,0,2,0,0,92,0,Split,12751,502,5,0
403008,4,0,2900.0,2380.0,5,5,0,0,0,0,Split,12751,502,5,1
403008,4,3278,2900.0,1800.0,5,4,0,0,3,0,Split,12751,502,5,1
403008,4,26802,2900.0,1480.0,5,3,0,0,27,0,Split,12751,502,5,1
403008,4,27732,2320.0,1480.0,4,3,0,0,28,0,Split,12751,502,5,1
403008,4,34831,1740.0,1480.0,3,3,0,0,35,0,Split,12751,502,5,1
403008,4,34952,1160.0,1480.0,2,3,0,0,35,0,Split,12751,502,5,1
403008,4,38279,1160.0,900.0,2,2,0,0,38,0,Split,12751,502,5,1
403008,4,61904,1160.0,580.0,2,1,0,0,62,0,Split,12751,502,5,1
403008,4,82822,1160.0,580.0,2,1,0,0,83,0,Split,12751,502,5,1
403008,4,106752,580.0,580.0,1,1,0,0,0,24,Split,12751,502,5,1
403008,4,106874,580.0,0.0,1,0,0,0,0,24,Split,12751,502,5,1
403009,5,0,2900.0,360.0,5,5,0,0,0,0,Split,12751,502,5,1
403009,5,51508,2900.0,200.0,5,4,0,0,52,0,Split,12751,502,5,1
403009,5,52788,2900.0,100.0,5,3,0,0,53,0,Split,12751,502,5,1
403009,5,54479,2900.0,100.0,5,2,0,0,54,0,Split,12751,502,5,1
403009,5,56408,2900.0,0.0,5,1,0,0,56,0,Split,12751,502,5,1
403009,5,59797,2900.0,0.0,5,0,0,0,60,0,Split,12751,502,5,1
403010,6,0,2900.0,3320.0,5,5,1,0,0,0,Split,12751,502,5,1
403010,6,6752,2320.0,3320.0,4,5,1,0,7,0,Split,12751,502,5,1
403010,6,40293,2900.0,3320.0,5,5,1,0,40,0,Split,12751,502,5,1
403010,6,73833,2320.0,3320.0,4,5,1,0,74,0,Split,12751,502,5,1
403010,6,75368,2320.0,2740.0,4,4,1,0,75,0,Split,12751,502,5,1
403010,6,78499,1740.0,2740.0,3,4,1,0,78,0,Split,12751,502,5,1
403010,6,78568,1740.0,2160.0,3,3,1,0,79,0,Split,12751,502,5,1
403010,6,89592,1740.0,2160.0,3,3,1,0,90,0,Split,12751,502,5,1
403010,6,113755,1740.0,1580.0,3,2,1,0,0,24,Split,12751,502,5,1
403010,6,116284,1740.0,580.0,3,1,0,0,0,27,Split,12751,502,5,1
403010,6,118219,1160.0,580.0,2,1,0,0,0,29,Split,12751,502,5,1
403010,6,121770,580.0,580.0,1,1,0,0,0,32,Split,12751,502,5,1
403010,6,123706,580.0,0.0,1,0,0,0,0,34,Split,12751,502,5,1
403011,7,0,2900.0,800.0,5,5,0,0,0,0,Split,12751,502,5,0
403011,7,7683,2320.0,800.0,4,5,0,0,8,0,Split,12751,502,5,0
403011,7,38206,1740.0,800.0,3,5,0,0,38,0,Split,12751,502,5,0
403011,7,42263,1160.0,800.0,2,5,0,0,42,0,Split,12751,502,5,0
403011,7,43959,1160.0,640.0,2,4,0,0,44,0,Split,12751,502,5,0
403011,7,52132,1160.0,480.0,2,3,0,0,52,0,Split,12751,502,5,0
403011,7,58817,1160.0,480.0,2,3,0,0,59,0,Split,12751,502,5,0
403011,7,63690,1160.0,480.0,2,2,0,0,0,5,Split,12751,502,5,0
403011,7,64858,580.0,480.0,1,2,0,0,0,6,Split,12751,502,5,0
403011,7,71784,0.0,480.0,0,2,0,0,0,13,Split,12751,502,5,0
403011,7,83172,0.0,480.0,0,2,0,0,0,24,Split,12751,502,5,0
403012,8,0,3320.0,3320.0,5,5,1,0,0,0,Split,12751,502,5,0
403012,8,30511,3320.0,2320.0,5,4,0,0,31,0,Split,12751,502,5,0
403012,8,85497,2320.0,2320.0,4,4,0,0,85,0,Split,12751,502,5,0
403012,8,87666,1740.0,2320.0,3,4,0,0,88,0,Split,12751,502,5,0
403012,8,87857,2740.0,2320.0,4,4,0,0,88,0,Split,12751,502,5,0
403012,8,88048,2740.0,1740.0,4,3,0,0,88,0,Split,12751,502,5,0
403012,8,93885,2740.0,1740.0,4,3,0,0,94,0,Split,12751,502,5,0
403012,8,96221,2160.0,1740.0,3,3,0,0,0,2,Split,12751,502,5,0
403012,8,105125,1580.0,1740.0,2,3,0,0,0,11,Split,12751,502,5,0
403012,8,107325,1580.0,1160.0,2,2,0,0,0,13,Split,12751,502,5,0
403012,8,113963,580.0,1160.0,1,2,0,0,0,20,Split,12751,502,5,0
403012,8,118969,0.0,1160.0,0,2,0,0,0,25,Split,12751,502,5,0
403012,8,130952,0.0,1160.0,0,2,0,0,0,37,Split,12751,502,5,0
403013,9,0,1280.0,3320.0,5,5,1,0,0,0,Split,12751,502,5,0
403013,9,16254,1280.0,3320.0,5,5,1,0,16,0,Split,12751,502,5,0
403013,9,17105,1280.0,2320.0,5,4,0,0,0,1,Split,12751,502,5,0
403013,9,18831,960.0,2320.0,4,4,0,0,0,3,Split,12751,502,5,0
403013,9,35777,960.0,1740.0,4,3,0,0,0,20,Split,12751,502,5,0
403013,9,38917,800.0,1740.0,3,3,0,0,0,23,Split,12751,502,5,0
403013,9,45134,800.0,1160.0,3,2,0,0,0,29,Split,12751,502,5,0
403013,9,45311,480.0,1160.0,2,2,0,0,0,29,Split,12751,502,5,0
403013,9,46403,160.0,1160.0,1,2,0,0,0,30,Split,12751,502,5,0
403013,9,53574,0.0,1160.0,0,2,0,0,0,37,Split,12751,502,5,0
403013,9,57171,0.0,1160.0,0,2,0,0,0,41,Split,12751,502,5,0
403014,10,0,2900.0,3320.0,5,5,1,0,0,0,Split,12751,502,5,1
403014,10,1944,2900.0,2740.0,5,4,1,0,2,0,Split,12751,502,5,1
403014,10,14597,2900.0,2160.0,5,3,1,0,15,0,Split,12751,502,5,1
403014,10,18301,2320.0,2160.0,4,3,1,0,18,0,Split,12751,502,5,1
403014,10,19970,2320.0,1580.0,4,2,1,0,20,0,Split,12751,502,5,1
403014,10,31571,2320.0,1000.0,4,1,1,0,32,0,Split,12751,502,5,1
403014,10,45838,2320.0,1000.0,4,1,1,0,46,0,Split,12751,502,5,1
403015,11,0,2900.0,3060.0,5,5,1,0,0,0,Split,12751,502,5,0
403015,11,74996,2320.0,3060.0,4,5,1,0,75,0,Split,12751,502,5,0
403015,11,77424,1740.0,3060.0,3,5,1,0,77,0,Split,12751,502,5,0
403015,11,78322,1160.0,3060.0,2,5,1,0,78,0,Split,12751,502,5,0
403015,11,78738,1160.0,2060.0,2,4,0,0,79,0,Split,12751,502,5,0
