RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,Spike_1_beep,Spike_2_beep,MapName,MatchID,SeriesID,bestOF,FinalWinner
402140,1,0,300.0,400.0,5,5,0,0,0,0,Bind,12746,502,3,0
402140,1,13532,200.0,400.0,4,5,0,0,0,0,Bind,12746,502,3,0
402140,1,14194,100.0,400.0,3,5,0,0,0,0,Bind,12746,502,3,0
402140,1,32140,100.0,400.0,2,5,0,0,0,0,Bind,12746,502,3,0
402140,1,48035,0.0,400.0,1,5,0,0,0,0,Bind,12746,502,3,0
402140,1,69874,0.0,400.0,1,4,0,0,0,0,Bind,12746,502,3,0
402140,1,76238,0.0,400.0,0,4,0,0,0,0,Bind,12746,502,3,0
402141,2,0,1060.0,1380.0,5,5,0,0,0,0,Bind,12746,502,3,0
402141,2,28182,740.0,1380.0,4,5,0,0,0,0,Bind,12746,502,3,0
402141,2,30655,420.0,1380.0,3,5,0,0,0,0,Bind,12746,502,3,0
402141,2,30770,260.0,1380.0,2,5,0,0,0,0,Bind,12746,502,3,0
402141,2,48444,260.0,1280.0,2,4,0,0,0,0,Bind,12746,502,3,0
402141,2,50084,260.0,960.0,2,3,0,0,0,0,Bind,12746,502,3,0
402141,2,71566,160.0,960.0,1,3,0,0,0,0,Bind,12746,502,3,0
402141,2,74188,160.0,640.0,1,2,0,0,0,0,Bind,12746,502,3,0
402141,2,77685,0.0,640.0,0,2,0,0,0,0,Bind,12746,502,3,0
402142,3,0,800.0,2120.0,5,5,0,0,0,0,Bind,12746,502,3,1
402142,3,65907,640.0,2120.0,4,5,0,0,0,0,Bind,12746,502,3,1
402142,3,69456,480.0,2120.0,3,5,0,0,0,0,Bind,12746,502,3,1
402142,3,81374,480.0,1800.0,3,4,0,0,0,0,Bind,12746,502,3,1
402142,3,87965,480.0,1480.0,3,3,0,0,0,0,Bind,12746,502,3,1
402142,3,90079,320.0,1480.0,2,3,0,0,0,0,Bind,12746,502,3,1
402142,3,95400,320.0,1480.0,2,3,0,0,0,0,Bind,12746,502,3,1
402142,3,103131,320.0,900.0,2,2,0,0,0,0,Bind,12746,502,3,1
402142,3,106785,320.0,580.0,2,1,0,0,0,0,Bind,12746,502,3,1
402142,3,107361,320.0,0.0,2,0,0,0,0,0,Bind,12746,502,3,1
402143,4,0,2900.0,840.0,5,5,0,0,0,0,Bind,12746,502,3,1
402143,4,75899,2900.0,640.0,5,4,0,0,0,0,Bind,12746,502,3,1
402143,4,77830,2900.0,640.0,5,3,0,0,0,0,Bind,12746,502,3,1
402143,4,81770,2900.0,640.0,5,3,0,0,0,0,Bind,12746,502,3,1
402143,4,105319,2900.0,320.0,5,2,0,0,0,0,Bind,12746,502,3,1
402143,4,108717,2900.0,160.0,5,1,0,0,0,0,Bind,12746,502,3,1
402143,4,112552,2900.0,0.0,5,0,0,0,0,0,Bind,12746,502,3,1
402144,5,0,2900.0,2900.0,5,5,0,0,0,0,Bind,12746,502,3,0
402144,5,59154,2900.0,2320.0,5,4,0,0,0,0,Bind,12746,502,3,0
402144,5,72345,2320.0,2320.0,4,4,0,0,0,0,Bind,12746,502,3,0
402144,5,78162,1740.0,2320.0,3,4,0,0,0,0,Bind,12746,502,3,0
402144,5,78725,1740.0,1740.0,3,3,0,0,0,0,Bind,12746,502,3,0
402144,5,83643,1160.0,1740.0,2,3,0,0,0,0,Bind,12746,502,3,0
402144,5,86135,580.0,1740.0,1,3,0,0,0,0,Bind,12746,502,3,0
402144,5,91071,0.0,1740.0,0,3,0,0,0,0,Bind,12746,502,3,0
402145,6,0,2900.0,2640.0,5,5,0,0,0,0,Bind,12746,502,3,0
402145,6,44419,2320.0,2640.0,4,5,0,0,0,0,Bind,12746,502,3,0
402145,6,47279,1740.0,2640.0,3,5,0,0,0,0,Bind,12746,502,3,0
402145,6,47796,1740.0,2060.0,3,4,0,0,0,0,Bind,12746,502,3,0
402145,6,52078,1160.0,2060.0,2,4,0,0,0,0,Bind,12746,502,3,0
402145,6,52458,1160.0,1740.0,2,3,0,0,0,0,Bind,12746,502,3,0
402145,6,53670,580.0,1740.0,1,3,0,0,0,0,Bind,12746,502,3,0
402145,6,56195,580.0,1160.0,1,2,0,0,0,0,Bind,12746,502,3,0
402145,6,56341,0.0,1160.0,0,2,0,0,0,0,Bind,12746,502,3,0
402146,7,0,2900.0,2900.0,5,5,0,0,0,0,Bind,12746,502,3,0
402146,7,48369,2320.0,2900.0,4,5,0,0,0,0,Bind,12746,502,3,0
402146,7,51930,2320.0,2320.0,4,4,0,0,0,0,Bind,12746,502,3,0
402146,7,53429,2320.0,1740.0,4,3,0,0,0,0,Bind,12746,502,3,0
402146,7,54792,1740.0,1740.0,3,3,0,0,0,0,Bind,12746,502,3,0
402146,7,57611,1160.0,1740.0,2,3,0,0,0,0,Bind,12746,502,3,0
402146,7,59047,1160.0,1160.0,2,2,0,0,0,0,Bind,12746,502,3,0
402146,7,64021,1160.0,580.0,2,1,0,0,0,0,Bind,12746,502,3,0
402146,7,80968,580.0,580.0,1,1,0,0,0,0,Bind,12746,502,3,0
402146,7,81138,580.0,580.0,1,1,0,0,0,0,Bind,12746,502,3,0
402146,7,84258,0.0,580.0,0,1,0,0,0,0,Bind,12746,502,3,0
402146,7,93807,0.0,580.0,0,1,0,0,0,0,Bind,12746,502,3,0
402147,8,0,1060.0,2900.0,5,5,0,0,0,0,Bind,12746,502,3,0
402147,8,4178,1060.0,2320.0,5,4,0,0,0,0,Bind,12746,502,3,0
