RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,RegularTime,SpikeTime,MapName,MatchID,SeriesID,bestOF,FinalWinner
402611,1,0,300.0,200.0,5,5,0,0,0,0,Ascent,12750,502,3,0
402611,1,11463,200.0,200.0,4,5,0,0,11,0,Ascent,12750,502,3,0
402611,1,15846,100.0,200.0,3,5,0,0,16,0,Ascent,12750,502,3,0
402611,1,22372,100.0,200.0,2,5,0,0,22,0,Ascent,12750,502,3,0
402611,1,28586,100.0,100.0,2,4,0,0,29,0,Ascent,12750,502,3,0
402611,1,30736,100.0,100.0,1,4,0,0,31,0,Ascent,12750,502,3,0
402611,1,40383,100.0,100.0,1,3,0,0,40,0,Ascent,12750,502,3,0
402611,1,68273,0.0,100.0,0,3,0,0,68,0,Ascent,12750,502,3,0
402612,2,0,800.0,1380.0,5,5,0,0,0,0,Ascent,12750,502,3,1
402612,2,26881,800.0,1380.0,5,5,0,0,27,0,Ascent,12750,502,3,1
402612,2,36677,580.0,1380.0,4,5,0,0,0,10,Ascent,12750,502,3,1
402612,2,40693,580.0,1280.0,4,4,0,0,0,14,Ascent,12750,502,3,1
402612,2,46462,420.0,1280.0,3,4,0,0,0,20,Ascent,12750,502,3,1
402612,2,58443,420.0,960.0,3,3,0,0,0,32,Ascent,12750,502,3,1
402612,2,62559,420.0,640.0,3,2,0,0,0,36,Ascent,12750,502,3,1
402612,2,63152,420.0,320.0,3,1,0,0,0,36,Ascent,12750,502,3,1
402612,2,67214,420.0,0.0,3,0,0,0,0,40,Ascent,12750,502,3,1
402612,2,72576,320.0,0.0,2,0,0,0,0,46,Ascent,12750,502,3,1
402613,3,0,1960.0,940.0,5,5,0,0,0,0,Ascent,12750,502,3,1
402613,3,17853,1960.0,940.0,5,4,0,0,18,0,Ascent,12750,502,3,1
402613,3,20743,1960.0,360.0,5,3,0,0,21,0,Ascent,12750,502,3,1
402613,3,23510,1960.0,360.0,5,3,0,0,24,0,Ascent,12750,502,3,1
402613,3,25953,1960.0,260.0,5,2,0,0,0,2,Ascent,12750,502,3,1
402613,3,35122,1640.0,260.0,4,2,0,0,0,12,Ascent,12750,502,3,1
402613,3,46591,1640.0,100.0,4,1,0,0,0,23,Ascent,12750,502,3,1
402613,3,53707,1480.0,100.0,3,1,0,0,0,30,Ascent,12750,502,3,1
402613,3,57134,1480.0,0.0,3,0,0,0,0,34,Ascent,12750,502,3,1
402614,4,0,2640.0,2160.0,5,5,0,0,0,0,Ascent,12750,502,3,1
402614,4,9197,2060.0,2160.0,4,5,0,0,9,0,Ascent,12750,502,3,1
402614,4,63755,1740.0,2160.0,3,5,0,0,64,0,Ascent,12750,502,3,1
402614,4,68821,1740.0,2160.0,3,5,0,0,69,0,Ascent,12750,502,3,1
402614,4,83079,1740.0,1580.0,3,4,0,0,0,14,Ascent,12750,502,3,1
402614,4,87962,1160.0,1580.0,2,4,0,0,0,19,Ascent,12750,502,3,1
402614,4,94439,1160.0,1480.0,2,3,0,0,0,26,Ascent,12750,502,3,1
402614,4,99327,1160.0,900.0,2,2,0,0,0,31,Ascent,12750,502,3,1
402614,4,103940,1160.0,320.0,2,1,0,0,0,35,Ascent,12750,502,3,1
402614,4,110948,1160.0,0.0,2,0,0,0,0,42,Ascent,12750,502,3,1
402615,5,0,2900.0,1000.0,5,5,0,0,0,0,Ascent,12750,502,3,1
402615,5,11134,2320.0,1000.0,4,5,0,0,11,0,Ascent,12750,502,3,1
402615,5,11472,2320.0,840.0,4,4,0,0,11,0,Ascent,12750,502,3,1
402615,5,59773,2320.0,680.0,4,3,0,0,60,0,Ascent,12750,502,3,1
402615,5,65934,2320.0,360.0,4,2,0,0,66,0,Ascent,12750,502,3,1
402615,5,68143,1740.0,360.0,3,2,0,0,68,0,Ascent,12750,502,3,1
402615,5,71666,1740.0,160.0,3,1,0,0,72,0,Ascent,12750,502,3,1
402615,5,75801,1160.0,160.0,2,1,0,0,76,0,Ascent,12750,502,3,1
402615,5,75883,580.0,160.0,1,1,0,0,76,0,Ascent,12750,502,3,1
402615,5,81718,580.0,0.0,1,0,0,0,82,0,Ascent,12750,502,3,1
402615,5,86412,580.0,0.0,1,0,0,0,86,0,Ascent,12750,502,3,1
402616,6,0,2900.0,3320.0,5,5,1,0,0,0,Ascent,12750,502,3,1
402616,6,59342,2900.0,3320.0,5,5,1,0,59,0,Ascent,12750,502,3,1
402616,6,74247,2900.0,2740.0,5,4,1,0,0,15,Ascent,12750,502,3,1
402616,6,75484,2900.0,2160.0,5,3,1,0,0,16,Ascent,12750,502,3,1
402616,6,77130,2900.0,1580.0,5,2,1,0,0,18,Ascent,12750,502,3,1
402616,6,83583,2320.0,1580.0,4,2,1,0,0,24,Ascent,12750,502,3,1
402616,6,84309,2320.0,1000.0,4,1,1,0,0,25,Ascent,12750,502,3,1
402616,6,86545,2320.0,0.0,4,0,0,0,0,27,Ascent,12750,502,3,1
402617,7,0,2900.0,780.0,5,5,0,0,0,0,Ascent,12750,502,3,1
402617,7,9647,2320.0,780.0,4,5,0,0,10,0,Ascent,12750,502,3,1
402617,7,10842,2320.0,680.0,4,4,0,0,11,0,Ascent,12750,502,3,1
402617,7,14098,2320.0,480.0,4,3,0,0,14,0,Ascent,12750,502,3,1
