RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,RegularTime,SpikeTime,MapName,MatchID,SeriesID,bestOF,FinalWinner
402101,1,0,300.0,300.0,5,5,0,0,0,0,Ascent,12745,502,3,0
402101,1,23451,200.0,300.0,4,5,0,0,23,0,Ascent,12745,502,3,0
402101,1,25771,200.0,200.0,4,4,0,0,26,0,Ascent,12745,502,3,0
402101,1,65820,200.0,200.0,4,3,0,0,66,0,Ascent,12745,502,3,0
402101,1,72856,200.0,200.0,3,3,0,0,73,0,Ascent,12745,502,3,0
402101,1,81604,100.0,200.0,2,3,0,0,82,0,Ascent,12745,502,3,0
402101,1,82578,100.0,200.0,2,3,0,0,83,0,Ascent,12745,502,3,0
402101,1,95950,0.0,200.0,1,3,0,0,0,13,Ascent,12745,502,3,0
402101,1,96644,0.0,200.0,0,3,0,0,0,14,Ascent,12745,502,3,0
402101,1,113066,0.0,200.0,0,3,0,0,0,30,Ascent,12745,502,3,0
402102,2,0,580.0,1600.0,5,5,0,0,0,0,Ascent,12745,502,3,0
402102,2,63079,420.0,1600.0,4,5,0,0,63,0,Ascent,12745,502,3,0
402102,2,64235,320.0,1600.0,3,5,0,0,64,0,Ascent,12745,502,3,0
402102,2,64591,160.0,1600.0,2,5,0,0,65,0,Ascent,12745,502,3,0
402102,2,64969,160.0,1600.0,1,5,0,0,65,0,Ascent,12745,502,3,0
402102,2,66264,0.0,1600.0,0,5,0,0,66,0,Ascent,12745,502,3,0
402103,3,0,2900.0,1600.0,5,5,0,0,0,0,Ascent,12745,502,3,1
402103,3,53917,2900.0,1280.0,5,4,0,0,54,0,Ascent,12745,502,3,1
402103,3,60364,2320.0,1280.0,4,4,0,0,60,0,Ascent,12745,502,3,1
402103,3,61013,2320.0,960.0,4,3,0,0,61,0,Ascent,12745,502,3,1
402103,3,64569,1740.0,960.0,3,3,0,0,65,0,Ascent,12745,502,3,1
402103,3,68211,1740.0,640.0,3,2,0,0,68,0,Ascent,12745,502,3,1
402103,3,68747,1160.0,640.0,2,2,0,0,69,0,Ascent,12745,502,3,1
402103,3,69789,580.0,640.0,1,2,0,0,70,0,Ascent,12745,502,3,1
402103,3,70606,580.0,320.0,1,1,0,0,71,0,Ascent,12745,502,3,1
402103,3,90315,580.0,320.0,1,1,0,0,90,0,Ascent,12745,502,3,1
402103,3,101195,580.0,0.0,1,0,0,0,0,11,Ascent,12745,502,3,1
402104,4,0,2900.0,3320.0,5,5,1,0,0,0,Ascent,12745,502,3,0
402104,4,53570,2320.0,3320.0,4,5,1,0,54,0,Ascent,12745,502,3,0
402104,4,55209,1740.0,3320.0,3,5,1,0,55,0,Ascent,12745,502,3,0
402104,4,56496,1740.0,2740.0,3,4,1,0,56,0,Ascent,12745,502,3,0
402104,4,68709,1740.0,2160.0,3,3,1,0,69,0,Ascent,12745,502,3,0
402104,4,70854,1160.0,2160.0,2,3,1,0,71,0,Ascent,12745,502,3,0
402104,4,70978,1160.0,1580.0,2,2,1,0,71,0,Ascent,12745,502,3,0
402104,4,88546,580.0,1580.0,1,2,1,0,89,0,Ascent,12745,502,3,0
402104,4,92083,0.0,1580.0,0,2,1,0,92,0,Ascent,12745,502,3,0
402105,5,0,580.0,3060.0,5,5,1,0,0,0,Ascent,12745,502,3,0
402105,5,56697,580.0,3060.0,4,5,1,0,57,0,Ascent,12745,502,3,0
402105,5,59819,580.0,2060.0,4,4,0,0,60,0,Ascent,12745,502,3,0
402105,5,59847,580.0,1480.0,4,3,0,0,60,0,Ascent,12745,502,3,0
402105,5,60793,480.0,1480.0,3,3,0,0,61,0,Ascent,12745,502,3,0
402105,5,61249,160.0,1480.0,2,3,0,0,61,0,Ascent,12745,502,3,0
402105,5,63231,160.0,1480.0,1,3,0,0,63,0,Ascent,12745,502,3,0
402105,5,78746,0.0,1480.0,0,3,0,0,79,0,Ascent,12745,502,3,0
