RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,Spike_1_beep,Spike_2_beep,MapName,MatchID,SeriesID,bestOF,FinalWinner
402056,1,0,200.0,160.0,5,5,0,0,0,0,Icebox,12747,502,3,1
402056,1,12593,200.0,160.0,5,4,0,0,0,0,Icebox,12747,502,3,1
402056,1,14522,100.0,160.0,4,4,0,0,0,0,Icebox,12747,502,3,1
402056,1,35773,100.0,160.0,4,3,0,0,0,0,Icebox,12747,502,3,1
402056,1,37053,100.0,160.0,4,3,0,0,0,0,Icebox,12747,502,3,1
402056,1,50620,100.0,0.0,4,2,0,0,1,0,Icebox,12747,502,3,1
402056,1,63680,0.0,0.0,3,2,0,0,0,1,Icebox,12747,502,3,1
402056,1,73798,0.0,0.0,3,1,0,0,0,1,Icebox,12747,502,3,1
402056,1,76677,0.0,0.0,3,0,0,0,0,1,Icebox,12747,502,3,1
402056,1,82607,0.0,0.0,2,0,0,0,0,1,Icebox,12747,502,3,1
402056,1,82853,0.0,0.0,1,0,0,0,0,1,Icebox,12747,502,3,1
402057,2,0,1600.0,180.0,5,5,0,0,0,0,Icebox,12747,502,3,1
402057,2,20331,1600.0,180.0,5,4,0,0,0,0,Icebox,12747,502,3,1
402057,2,26183,1280.0,180.0,4,4,0,0,0,0,Icebox,12747,502,3,1
402057,2,26346,960.0,180.0,3,4,0,0,0,0,Icebox,12747,502,3,1
402057,2,29493,640.0,180.0,2,4,0,0,0,0,Icebox,12747,502,3,1
402057,2,32083,640.0,0.0,2,3,0,0,0,0,Icebox,12747,502,3,1
402057,2,33385,640.0,0.0,2,2,0,0,0,0,Icebox,12747,502,3,1
402057,2,50844,640.0,0.0,2,2,0,0,0,0,Icebox,12747,502,3,1
402057,2,56622,640.0,0.0,2,1,0,0,1,0,Icebox,12747,502,3,1
402057,2,58813,640.0,0.0,2,0,0,0,1,0,Icebox,12747,502,3,1
402058,3,0,2380.0,2900.0,5,5,0,0,0,0,Icebox,12747,502,3,1
402058,3,4975,2380.0,2320.0,5,4,0,0,0,0,Icebox,12747,502,3,1
402058,3,76508,2380.0,1740.0,5,3,0,0,0,0,Icebox,12747,502,3,1
402058,3,77542,2380.0,1160.0,5,2,0,0,0,0,Icebox,12747,502,3,1
402058,3,79778,2380.0,1160.0,5,2,0,0,0,0,Icebox,12747,502,3,1
402058,3,99200,1800.0,1160.0,4,2,0,0,1,0,Icebox,12747,502,3,1
402058,3,104629,1800.0,580.0,4,1,0,0,1,0,Icebox,12747,502,3,1
402059,4,0,2900.0,1160.0,5,5,0,0,0,0,Icebox,12747,502,3,1
402059,4,8950,2900.0,1000.0,5,4,0,0,0,0,Icebox,12747,502,3,1
402059,4,14668,2900.0,900.0,5,3,0,0,0,0,Icebox,12747,502,3,1
402059,4,59980,2900.0,900.0,5,3,0,0,0,0,Icebox,12747,502,3,1
