RoundID,RoundNumber,RoundTime,ATK_wealth,DEF_wealth,ATK_alive,DEF_alive,DEF_has_OP,Def_has_Odin,Spike_1_beep,Spike_2_beep,MapName,MatchID,SeriesID,bestOF,FinalWinner
400266,1,0,300.0,200.0,5,5,0,0,0,0,Ascent,12620,502,3,0
400266,1,9622,300.0,200.0,4,5,0,0,0,0,Ascent,12620,502,3,0
400266,1,14533,300.0,200.0,3,5,0,0,0,0,Ascent,12620,502,3,0
400266,1,15325,200.0,200.0,2,5,0,0,0,0,Ascent,12620,502,3,0
400266,1,20917,100.0,200.0,1,5,0,0,0,0,Ascent,12620,502,3,0
400266,1,21740,0.0,200.0,0,5,0,0,0,0,Ascent,12620,502,3,0
400267,2,0,0.0,720.0,5,5,0,0,0,0,Ascent,12620,502,3,0
400267,2,43901,0.0,720.0,4,5,0,0,0,0,Ascent,12620,502,3,0
400267,2,45318,0.0,720.0,3,5,0,0,0,0,Ascent,12620,502,3,0
400267,2,45656,0.0,720.0,2,5,0,0,0,0,Ascent,12620,502,3,0
400267,2,45761,0.0,720.0,1,5,0,0,0,0,Ascent,12620,502,3,0
400267,2,48639,0.0,720.0,0,5,0,0,0,0,Ascent,12620,502,3,0
400268,3,0,2900.0,3120.0,5,5,1,1,0,0,Ascent,12620,502,3,0
400268,3,19337,2320.0,3120.0,4,5,1,1,0,0,Ascent,12620,502,3,0
400268,3,61902,2320.0,2120.0,4,4,0,1,0,0,Ascent,12620,502,3,0
400268,3,66239,1740.0,2120.0,3,4,0,1,0,0,Ascent,12620,502,3,0
400268,3,69906,1160.0,2120.0,2,4,0,1,0,0,Ascent,12620,502,3,0
400268,3,71109,580.0,2120.0,1,4,0,1,0,0,Ascent,12620,502,3,0
400268,3,71704,0.0,2120.0,0,4,0,1,0,0,Ascent,12620,502,3,0
400269,4,0,680.0,3380.0,5,5,1,1,0,0,Ascent,12620,502,3,0
400269,4,15755,580.0,3380.0,4,5,1,1,0,0,Ascent,12620,502,3,0
400269,4,16356,480.0,3380.0,3,5,1,1,0,0,Ascent,12620,502,3,0
400269,4,18395,260.0,3380.0,2,5,1,1,0,0,Ascent,12620,502,3,0
400269,4,20892,100.0,3380.0,1,5,1,1,0,0,Ascent,12620,502,3,0
400269,4,22246,0.0,3380.0,0,5,1,1,0,0,Ascent,12620,502,3,0
400270,5,0,2900.0,3380.0,5,5,1,1,0,0,Ascent,12620,502,3,0
400270,5,42755,2900.0,3380.0,5,5,1,1,0,0,Ascent,12620,502,3,0
400270,5,53424,2320.0,3380.0,4,5,1,1,1,0,Ascent,12620,502,3,0
400270,5,56542,1740.0,3380.0,3,5,1,1,1,0,Ascent,12620,502,3,0
